position,name,url,rating,rating_count,industry_location,reviews,salaries,interviews,jobs,benefits,photos,highly_rated_for,critically_rated_for
2,Amrapali Group,https://www.ambitionbox.com/overview/amrapali-group-overview,3.2,(108),Real Estate | Noida +13 other locations,108,294,1,--,16,--,,"Job Security, Salary & Benefits, Promotions / Appraisal"
3,Furnace Fabrica India,https://www.ambitionbox.com/overview/furnace-fabrica-india-overview,3.3,(108),Engineering & Construction | Mumbai +10 other locations,108,624,5,--,12,--,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
4,HirePro Consulting,https://www.ambitionbox.com/overview/hirepro-consulting-overview,3.7,(109),Software Product | Bangalore / Bengaluru +13 other locations,109,656,8,--,22,--,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
5,Kalyaniwalla & Mistry,https://www.ambitionbox.com/overview/kalyaniwalla-and-mistry-overview,3.3,(110),Accounting & Auditing | Mumbai +8 other locations,110,582,7,6,11,--,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
6,Kabra Extrusion Technik,https://www.ambitionbox.com/overview/kabra-extrusion-technik-overview,3.6,(108),Industrial Machinery | Daman & Diu +10 other locations,108,651,11,6,14,--,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
7,Bar Code India,https://www.ambitionbox.com/overview/bar-code-india-overview,3.7,(108),Industrial Automation | Gurgaon / Gurugram +11 other locations,108,753,7,--,12,8,Work Life Balance,Promotions / Appraisal
8,Manali Petrochemicals,https://www.ambitionbox.com/overview/manali-petrochemicals-overview,3.5,(108),Chemicals | Chennai +4 other locations,108,805,11,1,14,--,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
9,Indian Synthetic Rubber,https://www.ambitionbox.com/overview/indian-synthetic-rubber-overview,3.7,(108),Petrochemicals | Panipat +5 other locations,108,514,5,1,22,--,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Company Culture"
10,Clinic Dermatech,https://www.ambitionbox.com/overview/clinic-dermatech-overview,3.0,(112),Beauty & Personal Care | New Delhi +14 other locations,112,409,1,8,7,--,,"Job Security, Salary & Benefits, Company Culture"
11,Oorja Technical Services,https://www.ambitionbox.com/overview/oorja-technical-services-overview,3.4,(109),Electrical Equipment | Indore +12 other locations,109,422,7,--,12,--,,"Job Security, Promotions / Appraisal, Work Satisfaction"
12,Isprava,https://www.ambitionbox.com/overview/isprava-overview,3.5,(110),Real Estate | Mumbai +8 other locations,110,532,9,24,2,--,,"Promotions / Appraisal, Job Security, Work Satisfaction"
13,ClinicAnywhere,https://www.ambitionbox.com/overview/clinicanywhere-overview,3.2,(109),Bangalore / Bengaluru +10 other locations,109,470,14,--,5,--,,"Job Security, Company Culture, Promotions / Appraisal"
14,SOGEFI ENGINE SYSTEMS INDIA,https://www.ambitionbox.com/overview/sogefi-engine-systems-india-overview,3.7,(109),Auto Components | Gurgaon / Gurugram +4 other locations,109,597,9,--,14,--,,"Promotions / Appraisal, Company Culture, Job Security"
15,ApplyBoard,https://www.ambitionbox.com/overview/applyboard-overview,3.1,(108),Internet | Gurgaon / Gurugram +9 other locations,108,506,9,10,2,3,,"Job Security, Promotions / Appraisal, Work Satisfaction"
16,Digi Clarity Global Solutions,https://www.ambitionbox.com/overview/digi-clarity-global-solutions-overview,4.3,(109),BPO | Chennai +1 other locations,109,261,7,1,8,4,"Work Life Balance, Work Satisfaction, Skill Development / Learning",
17,Mylab Discovery Solutions,https://www.ambitionbox.com/overview/mylab-discovery-solutions-overview,3.3,(110),Internet | Pune +17 other locations,110,501,13,--,8,--,,"Promotions / Appraisal, Salary & Benefits, Job Security"
18,Learnbay,https://www.ambitionbox.com/overview/learnbay-overview,3.9,(108),Bangalore / Bengaluru +3 other locations,108,382,5,--,3,--,"Work Life Balance, Salary & Benefits",
19,Lomos Archilabs,https://www.ambitionbox.com/overview/lomos-archilabs-overview,4.1,(108),EdTech | Bangalore / Bengaluru +6 other locations,108,93,6,--,49,--,"Salary & Benefits, Company Culture, Skill Development / Learning",
20,Perceptive,https://www.ambitionbox.com/overview/perceptive-overview,3.5,(111),Clinical Research | Hyderabad / Secunderabad +5 other locations,111,767,11,24,12,20,Work Life Balance,"Job Security, Promotions / Appraisal, Skill Development / Learning"
1,R.K. Group,https://www.ambitionbox.com/overview/r-dot-k-dot-group-overview,3.7,(109),Real Estate | Bangalore / Bengaluru +31 other locations,109,717,5,4,9,--,,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
2,MoreTasks,https://www.ambitionbox.com/overview/moretasks-business-solution-pvt-ltd-overview,3.9,(108),IT Services & Consulting | Gurgaon / Gurugram +2 other locations,108,229,20,--,27,416,"Company Culture, Skill Development / Learning","Promotions / Appraisal, Job Security, Salary & Benefits"
3,Epicu Agro Products,https://www.ambitionbox.com/overview/epicu-agro-products-overview,3.0,(107),Food Processing | Ambala +24 other locations,107,405,5,--,3,--,,"Promotions / Appraisal, Company Culture, Job Security"
4,Edge Telecom,https://www.ambitionbox.com/overview/edge-telecom-overview,3.7,(109),Telecom | Gurgaon / Gurugram +15 other locations,109,453,7,--,17,--,,"Promotions / Appraisal, Salary & Benefits, Job Security"
5,Saurashtra Chemicals,https://www.ambitionbox.com/overview/saurashtra-chemicals-overview,4.0,(108),Chemicals | Porbandar +6 other locations,108,429,10,--,14,--,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
