position,name,url,rating,rating_count,industry_location,reviews,salaries,interviews,jobs,benefits,photos,highly_rated_for,critically_rated_for
2,United Nations Development Programme,https://www.ambitionbox.com/overview/united-nations-development-programme-overview,4.2,(159),Non-Profit | New Delhi +50 other locations,159,506,14,2,17,5,"Work Life Balance, Company Culture, Work Satisfaction","Job Security, Promotions / Appraisal"
3,Parsons International,https://www.ambitionbox.com/overview/parsons-international-overview,4.3,(158),IT Services & Consulting | Doha +14 other locations,158,219,7,--,19,--,"Company Culture, Work Life Balance, Work Satisfaction",
4,Goel Ganga Group,https://www.ambitionbox.com/overview/goel-ganga-group-overview,3.4,(159),Real Estate | Pune +4 other locations,159,608,8,15,27,--,,"Work Satisfaction, Company Culture, Promotions / Appraisal"
5,Bharat Benz,https://www.ambitionbox.com/overview/bharat-benz-overview,4.2,(160),Automobile | Chennai +70 other locations,160,518,7,--,24,1,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
6,Relyon Softech,https://www.ambitionbox.com/overview/relyon-softech-overview,3.9,(159),Software Product | Bangalore / Bengaluru +14 other locations,159,929,16,8,21,--,"Job Security, Work Life Balance",
7,Lawrence & Mayo,https://www.ambitionbox.com/overview/lawrence-and-mayo-overview,3.9,(160),Retail | Hyderabad / Secunderabad +28 other locations,160,486,12,--,22,--,"Salary & Benefits, Job Security","Promotions / Appraisal, Work Satisfaction"
8,Deep Industries,https://www.ambitionbox.com/overview/deep-industries-overview,3.4,(161),Oil & Gas | Ahmedabad +23 other locations,161,879,13,4,8,--,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
9,Travel Boutique Online,https://www.ambitionbox.com/overview/travel-boutique-online-overview,3.4,(162),Travel & Tourism | Gurgaon / Gurugram +13 other locations,162,983,20,--,12,--,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
10,Radix Electrosystems,https://www.ambitionbox.com/overview/radix-electrosystems-overview,3.5,(158),Electronics Manufacturing | Mumbai +14 other locations,158,747,15,4,7,--,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
11,Satvat Infosol,https://www.ambitionbox.com/overview/satvat-infosol-overview,3.0,(159),IT Services & Consulting | Chennai +5 other locations,159,782,7,5,21,--,,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
12,Hyderabad Metro Rail,https://www.ambitionbox.com/overview/hyderabad-metro-railkeolis-hyderabad-mass-rapid-tr-overview,4.0,(158),Railways | Hyderabad / Secunderabad +5 other locations,158,503,9,--,22,--,"Job Security, Work Life Balance, Skill Development / Learning",Salary & Benefits
13,Manitou Equipment India,https://www.ambitionbox.com/overview/manitou-equipment-overview,4.1,(161),Industrial Machinery | Greater Noida +11 other locations,161,795,13,--,12,--,"Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning"
14,Bentley Systems,https://www.ambitionbox.com/overview/bentley-systems-overview,4.3,(157),Software Product | Pune +7 other locations,157,1.3k,21,12,33,11,"Work Life Balance, Company Culture, Job Security",
15,Amtex Systems,https://www.ambitionbox.com/overview/amtex-systems-overview,3.3,(158),IT Services & Consulting | Chennai +7 other locations,158,1k,12,8,1,--,,"Promotions / Appraisal, Salary & Benefits, Job Security"
16,eBIZ.com,https://www.ambitionbox.com/overview/ebizcom-overview,4.0,(157),EdTech | Noida +23 other locations,157,160,2,--,33,--,"Skill Development / Learning, Company Culture","Job Security, Salary & Benefits, Work Satisfaction"
17,KDK Software,https://www.ambitionbox.com/overview/kdk-software-overview,3.0,(159),Software Product | Jaipur +14 other locations,159,360,16,11,24,2,,"Work Life Balance, Work Satisfaction, Job Security"
18,Delhi World Public School,https://www.ambitionbox.com/overview/delhi-world-public-school-overview,3.5,(158),Education & Training | Kolkata +50 other locations,158,628,15,21,21,3,,"Job Security, Company Culture, Work Satisfaction"
19,OSI Digital,https://www.ambitionbox.com/overview/osi-digital-overview,3.5,(157),IT Services & Consulting | Hyderabad / Secunderabad +4 other locations,157,1.9k,9,21,10,--,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
20,nurture.farm,https://www.ambitionbox.com/overview/nurture-dot-farm-overview,3.3,(158),Agriculture | Bangalore / Bengaluru +44 other locations,158,695,11,2,11,--,,"Job Security, Promotions / Appraisal, Work Satisfaction"
1,S.R.Batliboi & Co.,https://www.ambitionbox.com/overview/s-dot-r-dot-batliboi-and-co-dot-overview,3.0,(159),Accounting & Auditing | New Delhi +14 other locations,159,1k,13,--,12,--,Job Security,"Work Life Balance, Company Culture, Work Satisfaction"
2,Jehangir Hospital,https://www.ambitionbox.com/overview/jehangir-hospital-overview,3.9,(158),Healthcare | Pune +5 other locations,158,623,8,2,17,--,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
3,River Engineering,https://www.ambitionbox.com/overview/river-engineering-overview,3.6,(158),Industrial Machinery | Greater Noida +9 other locations,158,801,8,--,19,--,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
4,Kaff Appliances (india),https://www.ambitionbox.com/overview/kaff-appliances-india-overview,3.0,(157),Consumer Electronics & Appliances | Gurgaon / Gurugram +30 other locations,157,637,9,--,11,--,,"Company Culture, Promotions / Appraisal, Job Security"
5,OSI Digital,https://www.ambitionbox.com/overview/osi-digital-overview,3.5,(157),IT Services & Consulting | Hyderabad / Secunderabad +4 other locations,157,1.9k,9,21,10,--,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
6,Delhi World Public School,https://www.ambitionbox.com/overview/delhi-world-public-school-overview,3.5,(158),Education & Training | Kolkata +50 other locations,158,628,15,21,21,3,,"Job Security, Company Culture, Work Satisfaction"
7,eBIZ.com,https://www.ambitionbox.com/overview/ebizcom-overview,4.0,(157),EdTech | Noida +23 other locations,157,160,2,--,33,--,"Skill Development / Learning, Company Culture","Job Security, Salary & Benefits, Work Satisfaction"
8,Bentley Systems,https://www.ambitionbox.com/overview/bentley-systems-overview,4.3,(157),Software Product | Pune +7 other locations,157,1.3k,21,12,33,11,"Work Life Balance, Company Culture, Job Security",
9,Amtex Systems,https://www.ambitionbox.com/overview/amtex-systems-overview,3.3,(158),IT Services & Consulting | Chennai +7 other locations,158,1k,12,8,1,--,,"Promotions / Appraisal, Salary & Benefits, Job Security"
10,TAL Manufacturing Solutions,https://www.ambitionbox.com/overview/tal-manufacturing-solutions-overview,3.6,(156),Industrial Machinery | Nagpur +6 other locations,156,520,5,--,22,--,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
11,SMC Power Generation,https://www.ambitionbox.com/overview/smc-power-generation-overview,3.8,(159),Iron & Steel | Jharsuguda +11 other locations,159,712,12,--,9,1,,"Promotions / Appraisal, Company Culture, Job Security"
12,Airtel Africa,https://www.ambitionbox.com/overview/airtel-africa-overview,2.9,(159),Telecom | Gurgaon / Gurugram +8 other locations,159,886,19,--,9,--,,"Company Culture, Promotions / Appraisal, Work Satisfaction"
13,St. Mary's School,https://www.ambitionbox.com/overview/st-marys-school-overview,3.8,(157),Education & Training | New Delhi +62 other locations,157,527,5,--,17,2,,"Promotions / Appraisal, Job Security, Company Culture"
14,Ganges Internationale,https://www.ambitionbox.com/overview/ganges-internationale-overview,2.9,(159),Power | Pondicherry / Puducherry +8 other locations,159,818,9,--,20,--,,"Job Security, Promotions / Appraisal, Company Culture"
15,CTR Manufacturing Industries,https://www.ambitionbox.com/overview/ctr-manufacturing-industries-overview,3.6,(158),Electronics Manufacturing | Pune +10 other locations,158,803,11,48,10,1,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
16,Rimini Street,https://www.ambitionbox.com/overview/rimini-street-overview,4.1,(160),IT Services & Consulting | Hyderabad / Secunderabad +2 other locations,160,802,7,13,15,1,"Work Life Balance, Company Culture, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning"
17,SEW Infrastructure,https://www.ambitionbox.com/overview/sew-infrastructure-overview,3.7,(157),Engineering & Construction | Hyderabad / Secunderabad +23 other locations,157,497,4,--,19,--,"Skill Development / Learning, Work Satisfaction","Salary & Benefits, Job Security, Promotions / Appraisal"
18,KDK Software,https://www.ambitionbox.com/overview/kdk-software-overview,3.0,(159),Software Product | Jaipur +14 other locations,159,360,16,11,24,2,,"Work Life Balance, Work Satisfaction, Job Security"
19,nurture.farm,https://www.ambitionbox.com/overview/nurture-dot-farm-overview,3.3,(158),Agriculture | Bangalore / Bengaluru +44 other locations,158,695,11,2,11,--,,"Job Security, Promotions / Appraisal, Work Satisfaction"
20,Hire Glocal,https://www.ambitionbox.com/overview/hire-glocal-overview,4.6,(157),Recruitment | Mumbai +7 other locations,157,76,17,--,39,25,"Company Culture, Work Satisfaction, Promotions / Appraisal",
1,Cube Highways,https://www.ambitionbox.com/overview/cube-highways-overview,4.2,(159),Noida +43 other locations,159,505,11,--,2,1,"Job Security, Company Culture, Work Life Balance",
2,The Pride Hotel,https://www.ambitionbox.com/overview/the-pride-hotel-overview,3.6,(158),Hospitality | New Delhi +22 other locations,158,682,6,5,21,--,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3,Enzen Global Solutions,https://www.ambitionbox.com/overview/enzen-global-solutions-overview,3.2,(156),Power | Bangalore / Bengaluru +16 other locations,156,544,6,4,21,--,,"Promotions / Appraisal, Job Security, Skill Development / Learning"
4,Smart Drive Systems,https://www.ambitionbox.com/overview/smart-drive-systems-overview,3.4,(159),IT Services & Consulting | Hyderabad / Secunderabad +3 other locations,159,726,10,--,29,--,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
5,Globe Capital Market,https://www.ambitionbox.com/overview/globe-capital-market-ltd-dot-overview,3.6,(158),Investment Banking / Venture Capital / Private Equity | New Delhi +29 other locations,158,643,5,46,4,2,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
6,M K Agrotech Private Limited,https://www.ambitionbox.com/overview/m-k-agro-tech-overview,3.5,(158),FMCG | Mysuru / Mysore +32 other locations,158,392,25,10,25,--,,"Promotions / Appraisal, Job Security, Work Satisfaction"
7,Indel Money,https://www.ambitionbox.com/overview/indel-money-overview,3.9,(157),Financial Services | Kochi +57 other locations,157,516,9,7,7,--,"Company Culture, Work Life Balance",Promotions / Appraisal
8,Kriya It,https://www.ambitionbox.com/overview/kriya-it-overview,3.1,(157),Internet | Chittoor +9 other locations,157,829,18,--,12,--,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance"
9,Simform,https://www.ambitionbox.com/overview/simform-solutions-overview,3.4,(157),IT Services & Consulting | Ahmedabad +1 other locations,157,1.1k,36,12,15,--,,"Promotions / Appraisal, Job Security, Work Satisfaction"
10,Soch Apparels,https://www.ambitionbox.com/overview/soch-apparels-overview,4.3,(155),Fashion & Textile | Bangalore / Bengaluru +35 other locations,155,652,7,--,18,--,"Company Culture, Skill Development / Learning, Work Satisfaction",
11,LS Automotive India,https://www.ambitionbox.com/overview/ls-automotive-overview,3.4,(157),Automobile | Chennai +4 other locations,157,912,6,--,20,--,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
12,Indostar Home Finance,https://www.ambitionbox.com/overview/indostar-home-finance-overview,4.1,(156),Financial Services | Mumbai +63 other locations,156,513,8,--,3,--,"Work Life Balance, Salary & Benefits, Company Culture",
13,Harvest Gold Industries,https://www.ambitionbox.com/overview/harvest-gold-industries-overview,3.9,(157),Food Processing | New Delhi +18 other locations,157,585,16,--,10,--,Salary & Benefits,
14,Reliance Corporate IT Park,https://www.ambitionbox.com/overview/reliance-corporate-it-park-overview,4.1,(157),Mumbai +38 other locations,157,647,6,--,21,2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
15,GVK Group,https://www.ambitionbox.com/overview/gvk-group-overview,4.0,(156),Engineering & Construction | Hyderabad / Secunderabad +33 other locations,156,690,9,--,14,--,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
16,Oswal Castings,https://www.ambitionbox.com/overview/oswal-castings-overview,3.8,(163),Metals & Mining | Faridabad +9 other locations,163,653,10,--,16,--,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
17,Tech2Globe,https://www.ambitionbox.com/overview/tech2globe-overview,4.0,(158),IT Services & Consulting | New Delhi +1 other locations,158,256,16,7,18,--,"Company Culture, Work Life Balance, Work Satisfaction",
18,Schreiber Dynamix Dairies,https://www.ambitionbox.com/overview/schreiber-dynamix-dairies-overview,4.1,(160),Electronics Manufacturing | Pune +10 other locations,160,615,5,10,21,--,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
19,Architect Hafeez Contractor,https://www.ambitionbox.com/overview/architect-hafeez-contractor-overview,3.3,(158),Architecture & Interior Design | Mumbai +7 other locations,158,457,12,--,9,--,,"Work Life Balance, Promotions / Appraisal, Salary & Benefits"
20,Tata Main Hospital,https://www.ambitionbox.com/overview/tata-main-hospital-overview,3.8,(156),Healthcare | Jamshedpur +7 other locations,156,477,16,3,24,--,Job Security,Promotions / Appraisal
1,Schreiber Dynamix Dairies,https://www.ambitionbox.com/overview/schreiber-dynamix-dairies-overview,4.1,(160),Electronics Manufacturing | Pune +10 other locations,160,615,5,10,21,--,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
2,Tech2Globe,https://www.ambitionbox.com/overview/tech2globe-overview,4.0,(158),IT Services & Consulting | New Delhi +1 other locations,158,256,16,7,18,--,"Company Culture, Work Life Balance, Work Satisfaction",
3,Ravi Foods,https://www.ambitionbox.com/overview/ravi-foods-overview,3.9,(157),Food Processing | Hyderabad / Secunderabad +29 other locations,157,593,6,--,18,--,Work Life Balance,"Promotions / Appraisal, Job Security"
4,Coverfox,https://www.ambitionbox.com/overview/coverfox-overview,4.1,(157),Insurance | Mumbai +8 other locations,157,695,3,15,16,8,"Work Life Balance, Company Culture, Work Satisfaction",
5,Minda Stoneridge Instruments,https://www.ambitionbox.com/overview/minda-stoneridge-instruments-overview,3.8,(156),Auto Components | Pune +6 other locations,156,859,14,--,6,--,,"Promotions / Appraisal, Company Culture"
6,Tata Main Hospital,https://www.ambitionbox.com/overview/tata-main-hospital-overview,3.8,(156),Healthcare | Jamshedpur +7 other locations,156,477,16,3,24,--,Job Security,Promotions / Appraisal
7,Kriya It,https://www.ambitionbox.com/overview/kriya-it-overview,3.1,(157),Internet | Chittoor +9 other locations,157,829,18,--,12,--,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance"
8,LS Automotive India,https://www.ambitionbox.com/overview/ls-automotive-overview,3.4,(157),Automobile | Chennai +4 other locations,157,912,6,--,20,--,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
9,Ohmium,https://www.ambitionbox.com/overview/ohmium-overview,3.0,(156),Power | Bangalore / Bengaluru +5 other locations,156,594,13,13,2,--,,"Job Security, Promotions / Appraisal, Skill Development / Learning"
10,Hubergroup,https://www.ambitionbox.com/overview/hubergroup-overview,3.9,(156),Chemicals | Vapi +13 other locations,156,759,7,--,14,--,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
11,NHPC,https://www.ambitionbox.com/overview/nhpc-overview,4.4,(156),Power | Faridabad +24 other locations,156,463,10,--,27,3,"Salary & Benefits, Job Security, Company Culture",
12,Tata Memorial Hospital,https://www.ambitionbox.com/overview/tata-memorial-hospital-overview,4.2,(156),Healthcare | Mumbai +8 other locations,156,596,10,--,18,2,"Skill Development / Learning, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Job Security"
13,Gunnebo,https://www.ambitionbox.com/overview/gunnebo-overview,3.9,(156),Defence & Aerospace | Vadodara +13 other locations,156,740,10,1,18,--,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
14,Indus Motors,https://www.ambitionbox.com/overview/indus-motors-overview,4.1,(156),Automobile | Kochi +30 other locations,156,633,2,5,15,--,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal
15,Volante Technologies,https://www.ambitionbox.com/overview/volante-technologies-overview,3.4,(159),FinTech | Chennai +5 other locations,159,1.4k,17,13,20,--,,"Promotions / Appraisal, Job Security, Company Culture"
16,Indian Coast Guard,https://www.ambitionbox.com/overview/indian-coast-guard-overview,4.0,(156),Defence & Aerospace | Chennai +28 other locations,156,471,6,--,23,--,"Job Security, Skill Development / Learning, Company Culture",
17,Super Auto India,https://www.ambitionbox.com/overview/super-auto-india-overview,3.7,(156),Industrial Machinery | Pune +6 other locations,156,640,5,1,13,--,Skill Development / Learning,"Promotions / Appraisal, Company Culture, Salary & Benefits"
18,Mafatlal Industries,https://www.ambitionbox.com/overview/mafatlal-industries-overview,3.7,(156),Mumbai +18 other locations,156,574,6,5,11,--,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
19,Swal Corporation,https://www.ambitionbox.com/overview/swal-corporation-ltd-dot-overview,4.1,(158),Agro Chemicals | Mumbai +66 other locations,158,312,8,--,10,--,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal
20,Infibeam Avenues,https://www.ambitionbox.com/overview/infibeam-avenues-overview,3.4,(157),IT Services & Consulting | Mumbai +11 other locations,157,1.2k,9,10,6,--,,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
1,Webdew,https://www.ambitionbox.com/overview/webdew-overview,4.5,(157),IT Services & Consulting | Mohali +9 other locations,157,151,107,3,45,6,"Company Culture, Work Satisfaction, Skill Development / Learning",
2,Lumiq,https://www.ambitionbox.com/overview/lumiq-dot-ai-overview,3.4,(169),IT Services & Consulting | Noida +4 other locations,169,711,14,4,17,1,,"Company Culture, Job Security, Promotions / Appraisal"
3,Jarvis Technology and Strategy Consulting,https://www.ambitionbox.com/overview/jarvis-technology-and-strategy-consulting-overview,3.4,(157),Management Consulting | New Delhi +34 other locations,157,714,17,6,10,3,,"Job Security, Promotions / Appraisal, Work Life Balance"
4,CP Plus,https://www.ambitionbox.com/overview/cp-plus-overview,4.0,(161),Tirupati +23 other locations,161,552,13,--,10,--,"Work Life Balance, Work Satisfaction, Job Security",
5,Ghv India,https://www.ambitionbox.com/overview/ghv-india-overview,4.4,(157),Engineering & Construction | Mumbai +30 other locations,157,632,4,4,15,--,"Company Culture, Work Life Balance, Work Satisfaction",
6,Harbinger Systems,https://www.ambitionbox.com/overview/harbinger-systems-overview,3.7,(155),Software Product | Pune +3 other locations,155,1.2k,6,5,17,5,Company Culture,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
7,Arvind Techno Engineers,https://www.ambitionbox.com/overview/arvind-techno-engineers-overview,4.0,(160),Engineering & Construction | New Delhi +29 other locations,160,662,7,8,8,--,Job Security,
8,Jagatjit Industries,https://www.ambitionbox.com/overview/jagatjit-industries-overview,3.7,(155),Beverage | Jalandhar +22 other locations,155,561,5,1,16,6,,"Promotions / Appraisal, Job Security, Company Culture"
9,Amar Cars,https://www.ambitionbox.com/overview/amar-cars-overview,4.0,(156),Automobile | Vadodara +11 other locations,156,538,9,--,11,9,"Company Culture, Work Life Balance, Work Satisfaction",
10,Infibeam Avenues,https://www.ambitionbox.com/overview/infibeam-avenues-overview,3.4,(157),IT Services & Consulting | Mumbai +11 other locations,157,1.2k,9,10,6,--,,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
11,Gunnebo,https://www.ambitionbox.com/overview/gunnebo-overview,3.9,(156),Defence & Aerospace | Vadodara +13 other locations,156,740,10,1,18,--,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
12,Sowparnika,https://www.ambitionbox.com/overview/sowparnika-overview,3.5,(156),Real Estate | Bangalore / Bengaluru +10 other locations,156,722,6,7,13,--,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
13,Anytime Fitness,https://www.ambitionbox.com/overview/anytime-fitness-overview,3.3,(159),Fitness & Wellness | New Delhi +27 other locations,159,733,11,98,17,--,,"Job Security, Promotions / Appraisal, Salary & Benefits"
14,American InfoSource,https://www.ambitionbox.com/overview/american-infosource-overview,3.4,(155),IT Services & Consulting | Vadodara +2 other locations,155,801,13,33,15,--,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
15,Federal Mogul Powertrain,https://www.ambitionbox.com/overview/federal-mogul-powertrain-overview,3.6,(155),Auto Components | Bhiwadi +14 other locations,155,583,8,--,21,2,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
16,Gulf Oil Corporation,https://www.ambitionbox.com/overview/gulf-oil-corporation-overview,4.3,(156),Oil & Gas | Hyderabad / Secunderabad +22 other locations,156,597,6,--,16,--,"Work Life Balance, Company Culture, Work Satisfaction",
17,MaxVal Group,https://www.ambitionbox.com/overview/maxval-ip-services-overview,3.5,(156),Coimbatore +8 other locations,156,917,21,18,11,12,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
18,Tata Memorial Hospital,https://www.ambitionbox.com/overview/tata-memorial-hospital-overview,4.2,(156),Healthcare | Mumbai +8 other locations,156,596,10,--,18,2,"Skill Development / Learning, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Job Security"
19,PES Engineers,https://www.ambitionbox.com/overview/pes-engineers-overview,4.1,(159),Engineering & Construction | Hyderabad / Secunderabad +26 other locations,159,595,10,--,15,1,"Job Security, Skill Development / Learning, Company Culture",
20,N.K. Realtors,https://www.ambitionbox.com/overview/nk-realtors-overview,4.2,(156),Real Estate | Kolkata +6 other locations,156,448,21,6,19,--,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
1,DSM SOFT,https://www.ambitionbox.com/overview/dsm-soft-overview,3.0,(159),IT Services & Consulting | Tiruchirappalli +4 other locations,159,766,11,4,12,--,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
2,Gulf Oil Corporation,https://www.ambitionbox.com/overview/gulf-oil-corporation-overview,4.3,(156),Oil & Gas | Hyderabad / Secunderabad +22 other locations,156,597,6,--,16,--,"Work Life Balance, Company Culture, Work Satisfaction",
3,Federal Mogul Powertrain,https://www.ambitionbox.com/overview/federal-mogul-powertrain-overview,3.6,(155),Auto Components | Bhiwadi +14 other locations,155,583,8,--,21,2,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4,Sowparnika,https://www.ambitionbox.com/overview/sowparnika-overview,3.5,(156),Real Estate | Bangalore / Bengaluru +10 other locations,156,722,6,7,13,--,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
5,Valenta AI Private Limited,https://www.ambitionbox.com/overview/valenta-bpo-solutions-overview,3.8,(157),BPO | Bangalore / Bengaluru +12 other locations,157,569,13,22,16,--,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Job Security"
6,MaxVal Group,https://www.ambitionbox.com/overview/maxval-ip-services-overview,3.5,(156),Coimbatore +8 other locations,156,917,21,18,11,12,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
7,N.K. Realtors,https://www.ambitionbox.com/overview/nk-realtors-overview,4.2,(156),Real Estate | Kolkata +6 other locations,156,448,21,6,19,--,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
8,Pegasus InfoCorp,https://www.ambitionbox.com/overview/pegasus-infocorp-overview,3.0,(157),IT Services & Consulting | Mumbai +9 other locations,157,988,18,7,17,--,,"Job Security, Company Culture, Work Satisfaction"
9,PES Engineers,https://www.ambitionbox.com/overview/pes-engineers-overview,4.1,(159),Engineering & Construction | Hyderabad / Secunderabad +26 other locations,159,595,10,--,15,1,"Job Security, Skill Development / Learning, Company Culture",
10,Techugo,https://www.ambitionbox.com/overview/techugo-overview,3.7,(156),IT Services & Consulting | Noida +4 other locations,156,464,7,1,12,--,"Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
11,Anytime Fitness,https://www.ambitionbox.com/overview/anytime-fitness-overview,3.3,(159),Fitness & Wellness | New Delhi +27 other locations,159,733,11,98,17,--,,"Job Security, Promotions / Appraisal, Salary & Benefits"
12,American InfoSource,https://www.ambitionbox.com/overview/american-infosource-overview,3.4,(155),IT Services & Consulting | Vadodara +2 other locations,155,801,13,33,15,--,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
13,Melorra,https://www.ambitionbox.com/overview/melorra-overview,3.1,(155),Internet | Bangalore / Bengaluru +15 other locations,155,795,20,--,9,--,,"Promotions / Appraisal, Job Security, Company Culture"
14,Motorola Solutions,https://www.ambitionbox.com/overview/motorola-solutions-overview,4.1,(156),Telecom | Bangalore / Bengaluru +18 other locations,156,1.3k,29,60,17,--,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
15,Punjab & Sind Bank,https://www.ambitionbox.com/overview/punjab-and-sind-bank-overview,3.3,(155),Banking | New Delhi +46 other locations,155,441,2,--,15,--,Job Security,"Work Life Balance, Company Culture, Work Satisfaction"
16,Mansukh Securities & Finance,https://www.ambitionbox.com/overview/mansukh-securities-and-finance-overview,3.1,(158),Financial Services | Ahmedabad +10 other locations,158,766,21,--,6,--,,"Salary & Benefits, Company Culture, Work Satisfaction"
17,Ginger Webs,https://www.ambitionbox.com/overview/ginger-webs-overview,2.7,(154),IT Services & Consulting | Noida +6 other locations,154,983,16,5,8,--,,"Promotions / Appraisal, Job Security, Company Culture"
18,Chembond Chemicals,https://www.ambitionbox.com/overview/chembond-chemicals-overview,3.7,(155),Agro Chemicals | Mumbai +20 other locations,155,670,8,197,19,--,,"Promotions / Appraisal, Salary & Benefits"
19,Data Patterns,https://www.ambitionbox.com/overview/data-patterns-overview,3.6,(156),Defence & Aerospace | Chennai +10 other locations,156,1.1k,51,18,13,--,"Job Security, Skill Development / Learning","Company Culture, Work Life Balance, Promotions / Appraisal"
20,Acer India,https://www.ambitionbox.com/overview/acer-india-overview,4.3,(155),IT Services & Consulting | Bangalore / Bengaluru +33 other locations,155,744,7,--,19,--,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
1,Presidency University,https://www.ambitionbox.com/overview/presidency-university-overview,2.8,(155),Education & Training | Bangalore / Bengaluru +6 other locations,155,728,11,2,16,--,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
2,Eglo India,https://www.ambitionbox.com/overview/eglo-india-overview,3.1,(155),Architecture & Interior Design | Bawal +8 other locations,155,746,16,--,17,--,,"Job Security, Company Culture, Promotions / Appraisal"
3,Reserve Bank Information Technology,https://www.ambitionbox.com/overview/reserve-bank-information-technology-overview,3.5,(160),IT Services & Consulting | Mumbai +7 other locations,160,1.3k,45,6,17,--,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
4,Denso Ten Minda India,https://www.ambitionbox.com/overview/denso-ten-minda-india-pvt-ltd-overview,4.2,(154),Auto Components | Gurgaon / Gurugram +9 other locations,154,703,12,--,13,--,"Job Security, Work Life Balance, Company Culture",
5,Translumina Therapeutics,https://www.ambitionbox.com/overview/translumina-therapeutics-overview,3.6,(159),Healthcare | New Delhi +12 other locations,159,466,9,4,57,9,,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
6,Divgi Torqtransfer Systems,https://www.ambitionbox.com/overview/divgi-torqtransfer-systems-overview,3.3,(156),Auto Components | Pune +5 other locations,156,741,10,--,14,--,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
7,Cex Webuy Entertainment,https://www.ambitionbox.com/overview/cex-webuy-entertainment-overview,3.6,(154),Retail | Mumbai +10 other locations,154,1k,21,--,27,--,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
8,First Abu Dhabi Bank,https://www.ambitionbox.com/overview/first-abu-dhabi-bank-overview,3.4,(155),Banking | Bangalore / Bengaluru +8 other locations,155,873,12,--,22,--,,"Promotions / Appraisal, Job Security, Work Satisfaction"
9,St. Joseph's School,https://www.ambitionbox.com/overview/st-josephs-school-overview,4.3,(155),Education & Training | New Delhi +59 other locations,155,498,10,2,17,--,"Work Satisfaction, Skill Development / Learning, Company Culture",
